Domain,Type,Agency,Organization,City,State,Security Contact Email,v,p,sp,pct,adkim,aspf,fo,ruf,rua,rf,ri,
CITYOFALLISONIA.GOV,City,Non-Federal Agency,"""City of Allison"," IA""",Allison,IA,null,,,,,,,,,,,
CITYOFALMAGA.GOV,City,Non-Federal Agency,The City of Alma Georgia,Alma,GA,(blank),null,,,,,,,,,,,
CITYOFALMATX.GOV,City,Non-Federal Agency,City of Alma,Alma,TX,(blank),null,,,,,,,,,,,
CITYOFALTONIL.GOV,City,Non-Federal Agency,City of Alton,Alton,IL,security@cityofaltonil.com,DMARC1,quarantine,quarantine,90,r,r,1,mailto:postmaster@cityofaltonil.gov,mailto:postmaster@cityofaltonil.gov,afrf,86400,
CITYOFAMORYMS.GOV,City,Non-Federal Agency,City of Amory,Amory,MS,jamiemorgan@cityofamoryms.com,null,,,,,,,,,,,
CITYOFAPALACHICOLAFL.GOV,City,Non-Federal Agency,City of Apalachicola,Apalachicola,FL,security@cityofapalachicola.com,null,,,,,,,,,,,
CITYOFAUBURNWA.GOV,City,Non-Federal Agency,City of Auburn,Auburn,WA,servicedesk@auburnwa.gov,null,,,,,,,,,,,
CITYOFAUDUBONMN.GOV,City,Non-Federal Agency,City of Audubon,Audubon,MN,cityofaudubon@loretel.net,DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:mailadmin@cityofaudobonmn.gov,afrf,86400,
CITYOFBAMBERGSC.GOV,City,Non-Federal Agency,City of Bamberg,Bamberg,SC,ahlink@atlanticbb.net,null,,,,,,,,,,,
CITYOFBATHMAINE.GOV,City,Non-Federal Agency,City of Bath Maine,Bath,ME,InformationTechnology@CityofBath.com,null,,,,,,,,,,,
CITYOFBAYARDNM.GOV,City,Non-Federal Agency,City of Bayard,Bayard,NM,cityclerk@cityofbayardnm.com,null,,,,,,,,,,,
CITYOFBAYLAKEFL.GOV,City,Non-Federal Agency,Reedy Creek Improvement District,Lake Buena Vista,FL,itadmin@rcid.org,null,,,,,,,,,,,
CITYOFBAYMINETTEAL.GOV,City,Non-Federal Agency,City of Bay Minette,Bay Minette,AL,cityhall@ci.bay-minette.al.us,null,,,,,,,,,,,
CITYOFBENTONHARBORMI.GOV,City,Non-Federal Agency,City of Benton Harbor,Benton Harbor,MI,(blank),null,,,,,,,,,,,
CITYOFBINGHAMTON.GOV,City,Non-Federal Agency,City of Binghamton,Binghamton,NY,it@cityofbinghamton.com,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CITYOFBLAIRWI.GOV,City,Non-Federal Agency,City of Blair,Blair,WI,blairclerk@cityofblair.org,null,,,,,,,,,,,
CITYOFBLANCOTX.GOV,City,Non-Federal Agency,City of Blanco,Blanco,TX,mayor@cityofblanco.com,null,,,,,,,,,,,
CITYOFBLUERIDGEGA.GOV,City,Non-Federal Agency,City of Blue Ridge,Blue Ridge,GA,(blank),null,,,,,,,,,,,
CITYOFBOSTON.GOV,City,Non-Federal Agency,City of Boston,Boston,MA,(blank),DMARC1,reject,reject,100,r,r,0,none,"mailto:dmarc@boston.gov,mailto:hkn591vq@ag.dmarcian.com",afrf,86400,
CITYOFBOWIEMD.GOV,City,Non-Federal Agency,City of Bowie,Bowie,MD,ahogue@cityofbowie.org,null,,,,,,,,,,,
CITYOFBOWMANGA.GOV,City,Non-Federal Agency,City of Bowman,Bowman,GA,bowmancityclerk@gmail.com,null,,,,,,,,,,,
CITYOFBOYDTX.GOV,City,Non-Federal Agency,City of Boyd,Boyd,TX,tsmith@cityofboyd.com,null,,,,,,,,,,,
CITYOFBRISTOWOK.GOV,City,Non-Federal Agency,City of Bristow,Bristow,OK,tobyp@nobelvoicedata.com,null,,,,,,,,,,,
CITYOFBRODHEADWI.GOV,City,Non-Federal Agency,City of Brodhead,Brodhead,WI,security@cityofbrodheadwi.gov,null,,,,,,,,,,,
CITYOFBROOKINGS-SD.GOV,City,Non-Federal Agency,"""City of Brookings"," SD""",Brookings,SD,null,,,,,,,,,,,
CITYOFBROOKWOODAL.GOV,City,Non-Federal Agency,City of Brookwood,Brookwood,AL,jbarger@townofbrookwood.com,null,,,,,,,,,,,
CITYOFBRUNSWICK-GA.GOV,City,Non-Federal Agency,City of Brunswick,Brunswick,GA,IT@cityofbrunswick-ga.gov,null,,,,,,,,,,,
CITYOFBURNSOR.GOV,City,Non-Federal Agency,City of Burns,Burns,OR,dbrown@ci.burns.or.us,null,,,,,,,,,,,
CITYOFBURTON-TX.GOV,City,Non-Federal Agency,"""City of Burton"," Texas""",Burton,TX,null,,,,,,,,,,,
CITYOFCANALFULTON-OH.GOV,City,Non-Federal Agency,City of Canal Fulton,Canal Fulton,OH,(blank),null,,,,,,,,,,,
CITYOFCARSONCA.GOV,City,Non-Federal Agency,"""City of Carson"," California""",Carson,CA,null,,,,,,,,,,,
CITYOFCAYCE-SC.GOV,City,Non-Federal Agency,City of Cayce,Cayce,SC,helpdesk@caycesc.gov,null,,,,,,,,,,,
CITYOFCHAMPAIGN-IL.GOV,City,Non-Federal Agency,City of Champaign,Champaign,IL,(blank),null,,,,,,,,,,,
CITYOFCHAMPAIGNIL.GOV,City,Non-Federal Agency,City of Champaign,Champaign,IL,(blank),null,,,,,,,,,,,
CITYOFCHETEK-WI.GOV,City,Non-Federal Agency,city of chetek,Chetek,WI,bjohnson@cityofchetekwi.us,spf1,error,error,100,r,r,0,none,none,afrf,86400,
CITYOFCHINAGROVETX.GOV,City,Non-Federal Agency,City of China Grove,China Grove,TX,(blank),null,,,,,,,,,,,
CITYOFCLARE.GOV,City,Non-Federal Agency,City of Clare,Clare,MI,ssirpilla@cityofclare.org,null,,,,,,,,,,,
CITYOFCLAYTONGA.GOV,City,Non-Federal Agency,City of Clayton,Clayton,GA,helpdesk@boazmns.com,DMARC1,none,none,100,r,r,1,mailto:146c346da2@ruf.easydmarc.us,mailto:146c346da2@rua.easydmarc.us,afrf,86400,
CITYOFCLINTONIOWA.GOV,City,Non-Federal Agency,City of Clinton Iowa,Clinton,IA,jhansen@cityofclintoniowa.us,null,,,,,,,,,,,
CITYOFCONROE.GOV,City,Non-Federal Agency,City of Conroe,Conroe,TX,security@cityofconroe.org,null,,,,,,,,,,,
CITYOFCONWAY-AR.GOV,City,Non-Federal Agency,City of Conway- Information Technology,Conway,AR,(blank),DMARC1,reject,reject,100,r,r,1,mailto:o365admins@conwayarkansas.gov,mailto:o365admins@conwayarkansas.gov,afrf,86400,
CITYOFCOWETA-OK.GOV,City,Non-Federal Agency,City of Coweta,Coweta,OK,hr@cityofcoweta-ok.gov,null,,,,,,,,,,,
CITYOFCREEDMOORTX.GOV,City,Non-Federal Agency,City of Creedmoor,Creedmoor,TX,(blank),null,,,,,,,,,,,
CITYOFCRISFIELD-MD.GOV,City,Non-Federal Agency,City of Crisfield,Crisfield,MD,(blank),null,,,,,,,,,,,
CITYOFCUDAHYCA.GOV,City,Non-Federal Agency,City of Cudahy ,Cudahy,CA,klee@cityofcudahyca.gov,null,,,,,,,,,,,
CITYOFDALTON-GA.GOV,City,Non-Federal Agency,Dalton City Information Technology Office,Dalton,GA,(blank),null,,,,,,,,,,,
CITYOFDEERLODGEMT.GOV,City,Non-Federal Agency,City Of Deer Lodge,Deer Lodge,MT,(blank),null,,,,,,,,,,,
CITYOFDELAFIELDWI.GOV,City,Non-Federal Agency,City of Delafield,Delafield,WI,clerksoffice@ci.delafeild.wi.us,null,,,,,,,,,,,
CITYOFDELCITY.GOV,City,Non-Federal Agency,City of Del City,Del City,OK,(blank),null,,,,,,,,,,,
CITYOFDOUGLASGA.GOV,City,Non-Federal Agency,City of Douglas,Douglas,GA,bthomas@cityofdouglasga.gov,DMARC1,none,none,100,r,r,0,none,mailto:sgilbert@cityofdouglasga.gov,afrf,86400,
CITYOFDUNBARWV.GOV,City,Non-Federal Agency,City of Dunbar,Dunbar,WV,(blank),null,,,,,,,,,,,
CITYOFEATONRAPIDS.GOV,City,Non-Federal Agency,City of Eaton Rapids,Eaton Rapids,MI,security@cityofeatonrapids.gov,DMARC1,none,none,100,r,r,0,none,mailto:cb217b5c19e4486f9206bc75fdda6bfb@dmarc-reports.cloudflare.net,afrf,86400,
CITYOFELKHARTTX.GOV,City,Non-Federal Agency,City of Elkhart,Elkhart,TX,mayor@thecityofelkhart.com,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFELLISKS.GOV,City,Non-Federal Agency,City of Ellis,Ellis,KS,(blank),null,,,,,,,,,,,
CITYOFELYNV.GOV,City,Non-Federal Agency,City of Ely,Ely,NV,helpdesk@bctnv.com,null,,,,,,,,,,,
CITYOFEUDORAKS.GOV,City,Non-Federal Agency,City of Eudora,Eudora,KS,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,mailto:mailmon@cityofeudoraks.gov,afrf,86400,
CITYOFEUPORAMS.GOV,City,Non-Federal Agency,City of Eupora,Eupora,MS,blakemcmullan@gmail.com,null,,,,,,,,,,,
CITYOFFARGO-ND.GOV,City,Non-Federal Agency,City of Fargo,Fargo,ND,security@FargoND.GOV,null,,,,,,,,,,,
CITYOFFARMERSVILLE-CA.GOV,City,Non-Federal Agency,City of Farmersville,Farmersville,CA,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CITYOFFARMINGTON-AR.GOV,City,Non-Federal Agency,city of farmington,Farmington,AR,(blank),DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CITYOFFERGUSONKY.GOV,City,Non-Federal Agency,City of Ferguson,Ferguson,KY,fergusoncityhall@gmail.com,null,,,,,,,,,,,
CITYOFFOLKSTON-GA.GOV,City,Non-Federal Agency,City of Folkston,Folkston,GA,(blank),null,,,,,,,,,,,
CITYOFFREDERICKMD.GOV,City,Non-Federal Agency,City of Frederick,Frederick,MD,helpdesk@cityoffrederick.com,null,,,,,,,,,,,
CITYOFGAFFNEY-SC.GOV,City,Non-Federal Agency,City of Gaffney,Gaffney,SC,jcaggiano@cityofgaffney-sc.gov,null,,,,,,,,,,,
CITYOFGALENAPARK-TX.GOV,City,Non-Federal Agency,City of Galena Park,Galena Park,TX,(blank),null,,,,,,,,,,,
CITYOFGALESVILLEWI.GOV,City,Non-Federal Agency,City of Galesville,Galesville,WI,level2@mcsnetworks.com,null,,,,,,,,,,,
CITYOFGIBRALTARMI.GOV,City,Non-Federal Agency,City of Gibraltar,Gibraltar,MI,support@itright.com,null,,,,,,,,,,,
CITYOFGIGHARBORWA.GOV,City,Non-Federal Agency,City of Gig Harbor,Gig Harbor city,WA,domains@cityofgigharbor.net,null,,,,,,,,,,,
CITYOFGIRARDOH.GOV,City,Non-Federal Agency,City of Girard,Girard,OH,office@mrpcoffice.com,null,,,,,,,,,,,
CITYOFGOLDEN.GOV,City,Non-Federal Agency,City of Golden,Golden,CO,jmccoy@cityofgolden.net,DMARC1,quarantine,quarantine,100,r,r,1,mailto:itnotifications@cityofgolden.gov,mailto:itnotifications@cityofgolden.gov,afrf,86400,
CITYOFGRANDBLANCMI.GOV,City,Non-Federal Agency,City Of Grand Blanc,Grand Blanc,MI,dan.noyes@skyproconsulting.com,DMARC1,quarantine,none,100,r,r,1,mailto:dmarcreports@cityofgrandblancmi.gov,mailto:dmarcreports@cityofgrandblancmi.gov,afrf,86400,
CITYOFGROSSEPOINTEMI.GOV,City,Non-Federal Agency,City of Grosse Pointe ,Grosse Pointe City,MI,db@grossepointedps.org,null,,,,,,,,,,,
CITYOFGROTON-CT.GOV,City,Non-Federal Agency,City of Groton,Groton,CT,nilesd@yurservice.com,null,,,,,,,,,,,
CITYOFGROVEOK.GOV,City,Non-Federal Agency,City of Grove,Grove,OK,(blank),null,,,,,,,,,,,
CITYOFGUNNISON-CO.GOV,City,Non-Federal Agency,City of Gunnison,Gunnison,CO,(blank),DMARC1,none,none,100,r,r,0,mailto:7612fbb3@forensics.dmarc-report.com,mailto:7612fbb3@mxtoolbox.dmarc-report.com,afrf,86400,
CITYOFGUTTENBERGIA.GOV,City,Non-Federal Agency,City of Guttenberg,Guttenberg,IA,jblume@cityofguttenbergia.gov,null,,,,,,,,,,,
CITYOFHACKENSACKMN.GOV,City,Non-Federal Agency,City of Hackensack,Hackensack,MN,ctyhack@uslink.net,null,,,,,,,,,,,
CITYOFHARRISON-MI.GOV,City,Non-Federal Agency,City of Harrison,Harrison,MI,office@cityofharrison-mi.gov,null,,,,,,,,,,,
CITYOFHARVEYIL.GOV,City,Non-Federal Agency,City of Harvey,Harvey,IL,chris@harveyunited.com,DMARC1,none,none,100,r,r,0,none,mailto:admin@cityofharveyil.gov,afrf,86400,
CITYOFHAYWARD-CA.GOV,City,Non-Federal Agency,City of Hayward,Hayward,CA,carolyn.saputo@hayward-ca.gov,null,,,,,,,,,,,
CITYOFHAYWARDWI.GOV,City,Non-Federal Agency,City of Hayward,Hayward,WI,(blank),null,,,,,,,,,,,
CITYOFHERCULANEUM.GOV,City,Non-Federal Agency,City of Herculaneum,Herculaneum,MO,Security@cityofherculaneum.gov,DMARC1,none,none,100,r,r,1,mailto:ruf+cityofherculaneum.gov@dmarc.barracudanetworks.com,mailto:rua+cityofherculaneum.gov@dmarc.barracudanetworks.com,afrf,86400,
CITYOFHIRAMGA.GOV,City,Non-Federal Agency,City of Hiram,Hiram,GA,jpalmer@hiram-ga.gov,null,,,,,,,,,,,
CITYOFHOKAH-MN.GOV,City,Non-Federal Agency,"""City of Hokah"," Minnesota""",Hokah,MN,null,,,,,,,,,,,
CITYOFHOLYOKE-CO.GOV,City,Non-Federal Agency,City of Holyoke,Holyoke,CO,(blank),null,,,,,,,,,,,
CITYOFHOMER-AK.GOV,City,Non-Federal Agency,City of Homer,Homer,AK,(blank),null,,,,,,,,,,,
CITYOFHONDO-TX.GOV,City,Non-Federal Agency,City of Hondo,Hondo,TX,(blank),null,,,,,,,,,,,
CITYOFHOODRIVER.GOV,City,Non-Federal Agency,City of Hood River,Hood River,OR,security@cityofhoodriver.gov,null,,,,,,,,,,,
CITYOFHOUSTON.GOV,City,Non-Federal Agency,City of Houston,Houston,TX,Security.OperationsCenter@houstontx.gov,null,,,,,,,,,,,
CITYOFHUBBARD-OH.GOV,City,Non-Federal Agency,City of Hubbard,Hubbard,OH,(blank),null,,,,,,,,,,,
CITYOFHUGHSONCA.GOV,City,Non-Federal Agency,City of Hughson,Hughson,CA,hostmaster@hughson.org,null,,,,,,,,,,,
CITYOFHUMBLE-TX.GOV,City,Non-Federal Agency,City of Humble,Humble,TX,ticketing@blueirontech.com,null,,,,,,,,,,,
CITYOFHUMBLETX.GOV,City,Non-Federal Agency,City of Humble,Humble,TX,(blank),null,,,,,,,,,,,
CITYOFHUNTSVILLETX.GOV,City,Non-Federal Agency,City of Huntsville,Huntsville,TX,(blank),null,,,,,,,,,,,
CITYOFIONEOREGON.GOV,City,Non-Federal Agency,City of Ione Oregon,Ione,OR,support@townweb.com,null,,,,,,,,,,,
CITYOFIRONDALEAL.GOV,City,Non-Federal Agency,City Of Irondale,Irondale,AL,administrator@cityofirondaleal.gov,null,,,,,,,,,,,
CITYOFIRVINECA.GOV,City,Non-Federal Agency,City of Irvine,Irvine,CA,cybersecurity@cityofirvine.org,null,,,,,,,,,,,
CITYOFITHACANY.GOV,City,Non-Federal Agency,City of Ithaca,Ithaca,NY,akarasin@cityofithaca.org,null,,,,,,,,,,,
CITYOFJUNEAUWI.GOV,City,Non-Federal Agency,City Of Juneau,Juneau,WI,mbuchda@cityofjuneau.net,null,,,,,,,,,,,
CITYOFKANDIYOHIMN.GOV,City,Non-Federal Agency,City of Kandiyohi,Kandiyohi,MN,(blank),null,,,,,,,,,,,
CITYOFKASAANAK.GOV,City,Non-Federal Agency,City of Kasaan,Kasaan,AK,admin@cityofkasaanak.gov,null,,,,,,,,,,,
CITYOFKEWAUNEEWI.GOV,City,Non-Federal Agency,City of Kewaunee,Kewaunee,WI,loining.ross@kewauneeco.org,null,,,,,,,,,,,
CITYOFKEYWEST-FL.GOV,City,Non-Federal Agency,City of Key West,Key West,FL,(blank),DMARC1,none,none,100,r,r,1,mailto:ruf+cityofkeywest-fl.gov@dmarc.barracudanetworks.com,mailto:rua+cityofkeywest-fl.gov@dmarc.barracudanetworks.com,afrf,86400,
CITYOFKINGMAN.GOV,City,Non-Federal Agency,City of Kingman,Kingman,AZ,it@cityofkingman.gov,null,,,,,,,,,,,
CITYOFKINGSBURG-CA.GOV,City,Non-Federal Agency,City of Kingsburg,Kingsburg,CA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFLACRESCENT-MN.GOV,City,Non-Federal Agency,"""City of La Crescent"," MN""",La Crescent,MN,null,,,,,,,,,,,
CITYOFLADUE-MO.GOV,City,Non-Federal Agency,City of Ladue,Ladue,MO,(blank),DMARC1,reject,reject,100,r,r,1,mailto:ruf+cityofladue-mo.gov@dmarc.barracudanetworks.com,mailto:rua+cityofladue-mo.gov@dmarc.barracudanetworks.com,afrf,86400,
CITYOFLAGRANGEMO.GOV,City,Non-Federal Agency,City of LaGrange,LaGrange,MO,(blank),null,,,,,,,,,,,
CITYOFLAHABRA-CA.GOV,City,Non-Federal Agency,CITY OF LA HABRA,LA HABRA,CA,(blank),null,,,,,,,,,,,
CITYOFLAKEBUENAVISTAFL.GOV,City,Non-Federal Agency,Reedy Creek Improvement District,Lake Buena Vista,FL,itadmin@rcid.org,null,,,,,,,,,,,
CITYOFLAKEGENEVA.GOV,City,Non-Federal Agency,City of Lake Geneva,Lake Geneva,WI,(blank),null,,,,,,,,,,,
CITYOFLANCASTERCA.GOV,City,Non-Federal Agency,City of Lancaster,Lancaster,CA,itstaff@cityoflancasterca.org,DMARC1,reject,reject,100,s,s,1,mailto:dmarcreport@cityoflancasterca.gov,mailto:dmarcreport@cityoflancasterca.gov,afrf,86400,
CITYOFLANCASTERPA.GOV,City,Non-Federal Agency,"""City of Lancaster","  PA""",Lancaster,PA,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFLAPORTEIN.GOV,City,Non-Federal Agency,City of La Porte,La Porte,IN,(blank),null,,,,,,,,,,,
CITYOFLFP.GOV,City,Non-Federal Agency,City of Lake Forest Park,Lake Forest Park,WA,aemmons@cityoflfp.gov,DMARC1,none,none,100,r,r,0,none,mailto:dmarc_agg@vali.email,afrf,86400,
CITYOFLINDALETX.GOV,City,Non-Federal Agency,City of Lindale,Lindale,TX,JILLC@LINDALETX.GOV,null,,,,,,,,,,,
CITYOFLISBON-IA.GOV,City,Non-Federal Agency,City of Lisbon,Lisbon,IA,(blank),null,,,,,,,,,,,
CITYOFLODIWI.GOV,City,Non-Federal Agency,City of Lodi,Lodi,WI,(blank),null,,,,,,,,,,,
CITYOFLOMPOC.GOV,City,Non-Federal Agency,City of Lompoc,Lompoc,CA,(blank),null,,,,,,,,,,,
CITYOFLORETTOTN.GOV,City,Non-Federal Agency,City of Loretto,Loretto,TN,(blank),null,,,,,,,,,,,
CITYOFLUBBOCKTX.GOV,City,Non-Federal Agency,"""City of Lubbock"," Texas""",Lubbock,TX,null,,,,,,,,,,,
CITYOFMACON-MO.GOV,City,Non-Federal Agency,City Of Macon,Macon,MO,info@cityofmacon-mo.gov,null,,,,,,,,,,,
CITYOFMADERA.GOV,City,Non-Federal Agency,City of Madera,Madera,CA,msouders@cityofmadera.com,null,,,,,,,,,,,
CITYOFMADISONWI.GOV,City,Non-Federal Agency,City of Madison,Madison,WI,(blank),null,,,,,,,,,,,
CITYOFMANCHESTERTN.GOV,City,Non-Federal Agency,City Of Manchester,Manchester,TN,security@cityofmanchestertn.com,null,,,,,,,,,,,
CITYOFMARGARETALABAMA.GOV,City,Non-Federal Agency,City of Margaret,ODENVILLE,AL,dona@adrbms.com,null,,,,,,,,,,,
CITYOFMARIONIA.GOV,City,Non-Federal Agency,City of Marion,Marion,IA,helpdesk@cityofmarion.org,null,,,,,,,,,,,
CITYOFMARIONIL.GOV,City,Non-Federal Agency,City of Marion,Marion,IL,cmoake@cityofmarionil.gov,null,,,,,,,,,,,
CITYOFMARIONWI.GOV,City,Non-Federal Agency,CITY OF MARION,MARION,WI,(blank),null,,,,,,,,,,,
CITYOFMATTAWA-WA.GOV,City,Non-Federal Agency,City of Mattawa,Mattawa,WA,(blank),DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFMAYSVILLEKY.GOV,City,Non-Federal Agency,City of Maysville,Maysville,KY,sgeorge@courika.com,null,,,,,,,,,,,
CITYOFMAYWOODPARKOR.GOV,City,Non-Federal Agency,City of Maywood Park,Maywood Park,OR,office@cityofmaywoodpark.com,null,,,,,,,,,,,
CITYOFMCCAYSVILLEGA.GOV,City,Non-Federal Agency,City of McCaysville,McCaysville,GA,(blank),null,,,,,,,,,,,
CITYOFMEBANENC.GOV,City,Non-Federal Agency,City of Mebane,Mebane,NC,kmontgomery@cityofmebane.com,null,,,,,,,,,,,
CITYOFMERCED.GOV,City,Non-Federal Agency,City of Merced,Merced,CA,noc@cityofmerced.org,null,,,,,,,,,,,
CITYOFMETTERGA.GOV,City,Non-Federal Agency,City of Metter,Metter,GA,(blank),null,,,,,,,,,,,
CITYOFMIDLAND-MI.GOV,City,Non-Federal Agency,City of Midland,Midland,MI,(blank),null,,,,,,,,,,,
CITYOFMIDLANDMI.GOV,City,Non-Federal Agency,City of Midland,Midland,MI,(blank),null,,,,,,,,,,,
CITYOFMILLBROOK-AL.GOV,City,Non-Federal Agency,City of Millbrook Alabama,Millbrook,AL,admin@cityofmillbrook-al.gov,null,,,,,,,,,,,
CITYOFMILLENGA.GOV,City,Non-Federal Agency,City of Millen,Millen,GA,(blank),DMARC1,none,none,100,r,r,1,mailto:dmarc@cityofmillenga.gov,mailto:dmarc@cityofmillenga.gov,afrf,86400,
CITYOFMINATARENE.GOV,City,Non-Federal Agency,City of Minatare,Minatare,NE,help@bytesmanagedit.com,null,,,,,,,,,,,
CITYOFMINERALPOINTWI.GOV,City,Non-Federal Agency,City of Mineral Point,Mineral Point,WI,cory.skjervem@strand.com,null,,,,,,,,,,,
CITYOFMITCHELLSD.GOV,City,Non-Federal Agency,City of Mitchell,Mitchell,SD,security@cityofmitchell.org,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFMONONGAHELA-PA.GOV,City,Non-Federal Agency,City of Monongahela ,Monongahela,PA,tgido@cityofmonongahela-pa.gov,null,,,,,,,,,,,
CITYOFMONROEWI.GOV,City,Non-Federal Agency,City of Monroe,Monroe,WI,rjacobson@cityofmonroe.org,null,,,,,,,,,,,
CITYOFMORRISOK.GOV,City,Non-Federal Agency,City of Morris,Morris,OK,javery@cityofmorris.com,null,,,,,,,,,,,
CITYOFMTE.GOV,City,Non-Federal Agency,The City of Mount Enterprise,Mount Enterprise,TX,suzannepharr@citymte.com,null,,,,,,,,,,,
CITYOFMTVERNON-IA.GOV,City,Non-Federal Agency,City of Mount Vernon,Mount Vernon,IA,(blank),DMARC1,reject,reject,100,s,s,1,none,mailto:dmarc-ias@emailcentral.net,afrf,86400,
CITYOFNANTICOKE-PA.GOV,City,Non-Federal Agency,City of Nanticoke,Nanticoke,PA,gregm@goldenbusiness.com,null,,,,,,,,,,,
CITYOFNEWBUFFALOMI.GOV,City,Non-Federal Agency,City of New Buffalo,New Buffalo,MI,helpdesk@cityofnewbuffalo.org,null,,,,,,,,,,,
CITYOFNEWBURGH-NY.GOV,City,Non-Federal Agency,City of Newburgh,Newburgh,NY,ncrispino@cityofnewburgh-ny.gov,null,,,,,,,,,,,
CITYOFNEWKIRKOK.GOV,City,Non-Federal Agency,City of Newkirk,Newkirk,OK,courtclerk65@yahoo.com,null,,,,,,,,,,,
CITYOFNICHOLLSGA.GOV,City,Non-Federal Agency,City Of Nicholls,Nicholls,GA,chandler@newellmedia.com,null,,,,,,,,,,,
CITYOFNORMANDY.GOV,City,Non-Federal Agency,"""City of Normandy"," Missouri""",St. Louis,MO,null,,,,,,,,,,,
CITYOFNOVI-MI.GOV,City,Non-Federal Agency,City of Novi,Novi,MI,(blank),null,,,,,,,,,,,
CITYOFNOVI.GOV,City,Non-Federal Agency,City of Novi,Novi,MI,helpdesk@cityofnovi.org,null,,,,,,,,,,,
CITYOFOCONTOWI.GOV,City,Non-Federal Agency,City of Oconto,Oconto,WI,admin@cityofocontowi.gov,null,,,,,,,,,,,
CITYOFOMAHA-NE.GOV,City,Non-Federal Agency,Douglas Omaha Technology Commission,Omaha,NE,itsecurity@dotcomm.org,null,,,,,,,,,,,
CITYOFPACIFICWA.GOV,City,Non-Federal Agency,City of Pacific,Pacific,WA,lingraham@ci.pacific.wa.us,null,,,,,,,,,,,
CITYOFPAGEDALEMO.GOV,City,Non-Federal Agency,City of Pagedale,Pagedale,MO,AHUCKLEBERRY@CITYOFPAGEDALE.ORG,null,,,,,,,,,,,
CITYOFPALMDALECA.GOV,City,Non-Federal Agency,City of Palmdale,Palmdale,CA,itsecurity@cityofpalmdale.org,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CITYOFPARISTN.GOV,City,Non-Federal Agency,City of Paris,Paris,TN,(blank),null,,,,,,,,,,,
CITYOFPARMA-OH.GOV,City,Non-Federal Agency,"""City of Parma"," Ohio""",Parma,OH,null,,,,,,,,,,,
CITYOFPASSAICNJ.GOV,City,Non-Federal Agency,City of Passaic,Passaic,NJ,cpost@cityofpassaicnj.gov,null,,,,,,,,,,,
CITYOFPATASKALAOHIO.GOV,City,Non-Federal Agency,City of Pataskala,Pataskala,OH,(blank),null,,,,,,,,,,,
CITYOFPATTERSONLA.GOV,City,Non-Federal Agency,City of Patterson,Patterson,LA,(blank),null,,,,,,,,,,,
CITYOFPEARIDGEAR.GOV,City,Non-Federal Agency,City of Pea Ridge,Pea Ridge,AR,tech.director@cityofpearidge.com,DMARC1,reject,reject,100,r,r,0,none,mailto:tech.director@cityofpearidge.com,afrf,86400,
CITYOFPERRIS.GOV,City,Non-Federal Agency,City of Perris,Perris,CA,itgroup@cityofperris.org,null,,,,,,,,,,,
CITYOFPETERSBURGWV.GOV,City,Non-Federal Agency,CITY OF PETERSBURG,Petersburg,WV,(blank),null,,,,,,,,,,,
CITYOFPHOENIX.GOV,City,Non-Federal Agency,City of Phoenix,Phoenix,AZ,(blank),null,,,,,,,,,,,
CITYOFPIGEONFORGETN.GOV,City,Non-Federal Agency,City of Pigeon Forge,Pigeon Forge,TN,(blank),DMARC1,reject,reject,1,r,r,0,mailto:dmarc.reports@cityofpigeonforgetn.gov,mailto:dmarc.reports@cityofpigeonforgetn.gov,afrf,86400,
CITYOFPINCONNINGMI.GOV,City,Non-Federal Agency,City of Pinconning,Pinconning,MI,bosworth.jay@gmail.com,null,,,,,,,,,,,
CITYOFPINEBLUFF-AR.GOV,City,Non-Federal Agency,City of Pine Bluff,Pine Bluff,AR,ithelpdesk@cityofpinebluff-ar.gov,DMARC1,none,none,100,r,r,0,none,none,afrf,86400,
CITYOFPLAINVILLE-KS.GOV,City,Non-Federal Agency,City of Plainville Kansas,Plainville,KS,(blank),null,,,,,,,,,,,
CITYOFPLATTSBURGH-NY.GOV,City,Non-Federal Agency,City of Plattsburgh,Plattsburgh,NY,morsec@cityofplattsburgh-ny.gov,DMARC1,quarantine,quarantine,100,s,s,0,none,"mailto:sqga@cityofplattsburgh-ny.gov,",afrf,86400,
CITYOFPLEASANTONCA.GOV,City,Non-Federal Agency,City of Pleasanton,Pleasanton,CA,webrequest@cityofpleasantonca.gov,DMARC1,quarantine,quarantine,100,r,r,0,none,none,afrf,86400,
CITYOFPORTLANDTN.GOV,City,Non-Federal Agency,City of Portland,Portland,TN,cnewton@cityofportlandtn.gov,null,,,,,,,,,,,
